id,text
citation_093,"William D. Moore, “Riding the Goat: Secrecy, Masculinity, and Fraternal High Jinks in the United States, 1845–1930,” <em>Winterthur Portfolio</em> 41, no. 2/3 (2007): 161–88, https://doi.org/10.1086/518920."
citation_094,"Charles Woodruff Clarke Papers, 1866–1933, Ms 27, Eastern Washington State Historical Society, Northwest Museum of Arts and Culture, Spokane, WA."
citation_095,"William D. Moore, “Riding the Goat: Secrecy, Masculinity, and Fraternal High Jinks in the United States, 1845–1930,” <em>Winterthur Portfolio</em> 41, no. 2/3 (2007): 161–88, https://doi.org/10.1086/518920."
citation_096,"Elizabeth C. Cromley and Carter L. Hudgins, <em>Gender, Class, and Shelter</em>, 1st ed., Perspectives in Vernacular Architecture (Knoxville: University of Tennessee Press, 1995)."
citation_097,"C. Lance Brockman, Kenneth L. Ames, and Susan C. Jones, <em>Theatre of the Fraternity: Staging the Ritual Space of the Scottish Rite of Freemasonry, 1896–1929</em> (Minneapolis: Frederick R. Weisman Art Museum, University of Minnesota; distributed by University Press of Mississippi, 1996)."
citation_098,"<em>The Henderson-Ames Co. Catalogue</em>, ca. 1900s, Eastern Washington University Archives, John F. Kennedy Memorial Library, Cheney, WA."
citation_099,"Elizabeth C. Cromley and Carter L. Hudgins, <em>Gender, Class, and Shelter</em> (Knoxville: University of Tennessee Press, 1995)."
citation_100,"<em>Miller-Dervant Catalog</em>, 1906, Miller-Dervant Company Records, 1896–1955, MsSC 198, Eastern Washington State Historical Society, Northwest Museum of Arts and Culture, Spokane, WA."
citation_101,"<em>Miller-Dervant Catalog</em>, 1906, Miller-Dervant Company Records, 1896–1955, MsSC 198, Eastern Washington State Historical Society, Northwest Museum of Arts and Culture, Spokane, WA."
citation_102,"E.T. Hawk Photograph Collection, SPC-023-0996, item SPC-023-0996_02_266, Eastern Washington University Archives, John F. Kennedy Memorial Library, Cheney, WA."
citation_103,"<em>Official Souvenir Program: The Pow Wow, June 16–21, 1913</em>, Eastern Washington University Archives, John F. Kennedy Memorial Library, Cheney, WA."
